organ,diet,control_mean_g,diff_g,diff_lo,diff_hi,pct_diff,pct_lo,pct_hi,n_trt,n_ctl
Heart,T2,2.8325,0.835,0.1025,1.5675,29.47925861,3.618711386,55.33980583,4,4
Heart,T3,2.8325,0.1725,-0.54,0.9025,6.090026478,-19.06443071,31.86231244,4,4
Heart,T4,2.8325,-0.3475,-1.1375,0.4475,-12.26831421,-40.15887026,15.79876434,4,4
Intestines,T2,86.575,-10.6825,-36.655,12.805,-12.33901242,-42.33901242,14.79064395,4,4
Intestines,T3,86.575,0.6075,-24.9065,23.29,0.701703725,-28.76869766,26.90153046,4,4
Intestines,T4,86.575,-4.8225,-34.2125,26.13,-5.570314756,-39.51775917,30.18192319,4,4
kidneys,T2,5.885,0.405,-1.05,1.7401875,6.881903144,-17.84197111,29.56988105,4,4
kidneys,T3,5.885,-0.33,-1.4853125,0.795,-5.607476636,-25.23895497,13.50892099,4,4
kidneys,T4,5.885,-0.5175,-1.465,0.45,-8.793542906,-24.89379779,7.646559048,4,4
Liver,T2,31.73,0.275,-15.2125,14.4305,0.866687677,-47.94358651,45.47904192,4,4
Liver,T3,31.73,-5.1475,-20.161125,6.726875,-16.22281752,-63.53963126,21.20036243,4,4
Liver,T4,31.73,-3.32,-18.1809375,9.0825,-10.46328396,-57.29888906,28.62433029,4,4
Lungs,T2,7.0625,0.305,-2.2475,3.265,4.318584071,-31.82300885,46.2300885,4,4
Lungs,T3,7.0625,-0.1625,-2.0375,1.7,-2.300884956,-28.84955752,24.07079646,4,4
Lungs,T4,7.0625,-1.2025,-2.1875,-0.1225,-17.02654867,-30.97345133,-1.734513274,4,4
Spleen,T2,1.1125,0.0725,-0.17,0.285,6.516853933,-15.28089888,25.61797753,4,4
Spleen,T3,1.1125,-0.1375,-0.2575,-0.0275,-12.35955056,-23.14606742,-2.471910112,4,4
Spleen,T4,1.1125,-0.185,-0.3225,-0.055,-16.62921348,-28.98876404,-4.943820225,4,4
