organ,diet,mean_g,ci_lo,ci_hi,n,sd_g
Heart,T1,2.8325,2.2025,3.445,4,0.749060523
Heart,T2,3.6675,3.27,4.065,4,0.472325806
Heart,T3,3.005,2.655,3.3,4,0.40012498
Heart,T4,2.485,2.055,2.9975,4,0.583923511
Intestines,T1,86.575,66.5125,110.8425,4,26.89235145
Intestines,T2,75.8925,65.1825,86.345,4,12.75854583
Intestines,T3,87.1825,78.2925,94.83,4,9.266543315
Intestines,T4,81.7525,66.665,105.1375,4,24.05877993
kidneys,T1,5.885,4.965,6.805,4,1.112549624
kidneys,T2,6.29,5.2275,7.2125,4,1.23453095
kidneys,T3,5.555,4.7775,5.9775,4,0.771167945
kidneys,T4,5.3675,5.17,5.565,4,0.239913179
Liver,T1,31.73,20.865,46.29,4,15.70059659
Liver,T2,32.005,26.155,39.05,4,7.987575769
Liver,T3,26.5825,23.51,29.655,4,3.817873536
Liver,T4,28.41,24.92,32.905,4,4.86597027
Lungs,T1,7.0625,6.215,7.89,4,1.055410663
Lungs,T2,7.3675,4.975,9.9625,4,3.133277039
Lungs,T3,6.9,5.2,8.6,4,1.980605968
Lungs,T4,5.86,5.3825,6.4475,4,0.611391855
Spleen,T1,1.1125,1.025,1.2,4,0.112361025
Spleen,T2,1.185,0.965,1.365,4,0.247453699
Spleen,T3,0.975,0.9,1.02,4,0.077244202
Spleen,T4,0.9275,0.8275,1,4,0.108742816
