Diet,Sex,Week,Mean_ADG,SD_ADG,n,SEM_ADG
T1,F,1,8.371428571,11.40656612,10,3.607072921
T1,F,2,6.142857143,12.93924404,10,4.091748236
T1,F,3,5.257142857,2.497890266,10,0.789902259
T1,F,4,5.714285714,3.01357473,9,1.00452491
T1,F,5,7.571428571,4.77984715,9,1.593282383
T1,F,6,4.829821429,2.430628353,8,0.859356896
T1,F,7,-3.133392857,11.69308258,8,4.134128991
T1,F,8,1.339285714,4.855904704,8,1.716821573
T1,F,9,2.214285714,2.141496166,8,0.757133231
T1,F,10,2.482142857,1.659740223,8,0.586806784
T1,M,1,5.757142857,2.556437785,10,0.80841661
T1,M,2,0.9,3.255589995,10,1.029507951
T1,M,3,3.828571429,2.640861537,10,0.835113744
T1,M,4,4.085714286,1.586793569,10,0.501788186
T1,M,5,0.757142857,1.958816339,10,0.619432115
T1,M,6,4.128571429,2.574469102,10,0.814118613
T1,M,7,-2.214285714,2.205178404,10,0.69733864
T1,M,8,0.242857143,1.420692559,10,0.449262434
T1,M,9,3.507142857,0.98598455,10,0.311795692
T1,M,10,3.507142857,0.98598455,10,0.311795692
T2,F,1,7.228571429,4.35614092,10,1.377532712
T2,F,2,3,2.4234306,10,0.766356045
T2,F,3,-0.385714286,4.366461542,10,1.380796379
T2,F,4,7.257142857,2.051270277,10,0.648668617
T2,F,5,4.314285714,1.729823763,10,0.547018304
T2,F,6,3.028571429,2.122976561,10,0.671344135
T2,F,7,-2.871428571,1.180817965,10,0.373407427
T2,F,8,0.3,1.448198506,10,0.457960578
T2,F,9,3.321428571,1.943723546,10,0.614659355
T2,F,10,3.321428571,1.943723546,10,0.614659355
T2,M,1,8.714285714,23.37786948,8,8.265325019
T2,M,2,7.232142857,21.32846515,8,7.54075117
T2,M,3,5.063492063,2.926053893,9,0.975351298
T2,M,4,7.982142857,1.439625599,8,0.508984512
T2,M,5,4.673469388,3.921607929,7,1.482228474
T2,M,6,7.367346939,2.446512363,7,0.924694756
T2,M,7,0.571428571,5.541433298,7,2.094464916
T2,M,8,1.816326531,4.572703904,7,1.728319621
T2,M,9,4.336734694,9.28706165,7,3.510179362
T2,M,10,4.336734694,9.28706165,7,3.510179362
T3,F,1,5.26984127,3.790054415,9,1.263351472
T3,F,2,3.873015873,4.514966294,9,1.504988765
T3,F,3,16.94285714,19.65117573,10,6.2142474
T3,F,4,-7.428571429,20.29901196,10,6.419111205
T3,F,5,3.942857143,5.253742862,10,1.661379368
T3,F,6,4.396825397,3.493271797,9,1.164423932
T3,F,7,-1.507936508,2.519425663,9,0.839808554
T3,F,8,-3.587301587,12.37971606,9,4.126572018
T3,F,9,2.928571429,1.730366752,8,0.611777032
T3,F,10,2.928571429,1.730366752,8,0.611777032
T3,M,1,6.871428571,4.125827066,10,1.304701076
T3,M,2,3.828571429,3.496548347,10,1.105705672
T3,M,3,1.777777778,4.435542389,9,1.47851413
T3,M,4,5.015873016,3.029989934,9,1.009996645
T3,M,5,3.53968254,1.889522369,9,0.62984079
T3,M,6,2.206349206,1.673794283,9,0.557931428
T3,M,7,-0.111111111,1.915002235,9,0.638334078
T3,M,8,1.079365079,2.283605178,9,0.761201726
T3,M,9,2.428571429,1.290665071,9,0.43022169
T3,M,10,2.428571429,1.290665071,9,0.43022169
T4,F,1,6.142857143,2.062515031,10,0.652224521
T4,F,2,4.957142857,1.683654916,10,0.532418433
T4,F,3,3.257142857,2.154781636,10,0.681401783
T4,F,4,6.442857143,2.681464047,10,0.847953385
T4,F,5,3.871428571,3.298078875,10,1.042944115
T4,F,6,5.214285714,4.026133451,10,1.273175187
T4,F,7,-3.015873016,3.208283638,9,1.069427879
T4,F,8,-1.206349206,4.882868381,9,1.627622794
T4,F,9,3.446428571,1.848784172,8,0.653643913
T4,F,10,3.446428571,1.848784172,8,0.653643913
T4,M,1,7.442857143,3.160448603,10,0.999421601
T4,M,2,4.614285714,1.597972071,10,0.505323138
T4,M,3,3.342857143,2.098698441,10,0.66366672
T4,M,4,5,1.098339295,10,0.347325382
T4,M,5,5.185714286,1.793222312,10,0.567066686
T4,M,6,3.428571429,4.670066789,10,1.476804788
T4,M,7,0.028571429,5.025468018,10,1.589192524
T4,M,8,-0.628571429,1.471112618,10,0.465206657
T4,M,9,3.285714286,2.035957936,10,0.64382643
T4,M,10,3.285714286,2.035957936,10,0.64382643
