term,Term,df,Df.res,sumsq,Sum.Sq.res,statistic,p.value,organ,model
diet,diet,3,8,184.49999999999997,154.00000000000003,3.194805194805194,0.08394324579444859,Heart,ART (nonparametric factorial ANOVA)
sex,sex,1,8,63.99999999999994,266.99999999999994,1.9176029962546803,0.2035140891714727,Heart,ART (nonparametric factorial ANOVA)
diet:sex,diet:sex,3,8,22.25,307.9999999999999,0.19264069264069272,0.898496866852047,Heart,ART (nonparametric factorial ANOVA)
diet,diet,3,8,46.5,291.9999999999999,0.4246575342465755,0.7406742067461787,Intestines,ART (nonparametric factorial ANOVA)
sex,sex,1,8,143.99999999999994,188,6.127659574468082,0.03838527123207827,Intestines,ART (nonparametric factorial ANOVA)
diet:sex,diet:sex,3,8,78.50000000000003,242.00000000000009,0.8650137741046832,0.4977634178221747,Intestines,ART (nonparametric factorial ANOVA)
diet,diet,3,8,41.99999999999994,277.5,0.40360360360360303,0.7545186066550905,kidneys,ART (nonparametric factorial ANOVA)
sex,sex,1,8,24.999999999999943,312.49999999999994,0.6399999999999987,0.446813334114909,kidneys,ART (nonparametric factorial ANOVA)
diet:sex,diet:sex,3,8,22.25,314.4999999999997,0.18865924748277707,0.9011848093001193,kidneys,ART (nonparametric factorial ANOVA)
diet,diet,3,8,33.5,291.00000000000006,0.30698739977090483,0.8198689650146815,Liver,ART (nonparametric factorial ANOVA)
sex,sex,1,8,9,325.9999999999999,0.22085889570552156,0.6509306683756875,Liver,ART (nonparametric factorial ANOVA)
diet:sex,diet:sex,3,8,77.25000000000011,248.00000000000006,0.8306451612903236,0.513435252821155,Liver,ART (nonparametric factorial ANOVA)
diet,diet,3,8,27.5,310,0.23655913978494622,0.8684749962460541,Lungs,ART (nonparametric factorial ANOVA)
sex,sex,1,8,0,339.99999999999994,0,1,Lungs,ART (nonparametric factorial ANOVA)
diet:sex,diet:sex,3,8,22.250000000000057,309.00000000000006,0.19201725997842548,0.8989182460719859,Lungs,ART (nonparametric factorial ANOVA)
diet,diet,3,8,185.9999999999999,148,3.3513513513513495,0.07611351568931124,Spleen,ART (nonparametric factorial ANOVA)
sex,sex,1,8,4,331.74999999999994,0.09645817633760363,0.7640596171129016,Spleen,ART (nonparametric factorial ANOVA)
diet:sex,diet:sex,3,8,185.25000000000006,150.99999999999994,3.2715231788079495,0.07998771187322035,Spleen,ART (nonparametric factorial ANOVA)
