trait,term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
height,diet,3.3278625034551057,1.1092875011517018,3,115.0478993903587,1.2573630286366682,0.29242059321984903
height,sex,6.971408720381522,6.971408720381522,1,114.8793245677368,7.902001576166899,0.005807511241781758
height,period,4.881732400856978,4.881732400856978,1,114.8793245527082,5.53338050790483,0.020358720821894678
height,diet:sex,4.9053904803507375,1.6351301601169124,3,98.73297306246162,1.8533988782936779,0.14249077325314713
height,diet:period,2.0514778279016515,0.6838259426338837,3,115.04789937033783,0.7751078574289997,0.5102090508691398
height,sex:period,0.007686694583857458,0.007686694583857458,1,114.87932451748199,0.008712768846786406,0.9257942932990335
height,diet:sex:period,8.226093972188501,2.7420313240628333,3,115.04789935772524,3.1080570245862345,0.02923578294972175
width,diet,5.376000999234529,1.7920003330781764,3,113.37437472062884,1.9100095655899516,0.1319546343562269
width,sex,18.015157937195905,18.015157937195905,1,113.27388265081782,19.201516512305698,2.6408553539216087e-5
width,period,88.10441994190192,88.10441994190192,1,113.2738826199511,93.90639150759884,1.548992895691678e-16
width,diet:sex,15.954708958199802,5.318236319399934,3,105.13034544858286,5.668460019018663,0.0012251617874521593
width,diet:period,3.741663588515162,1.2472211961717206,3,113.37437471895606,1.3293548952653031,0.2683812478865464
width,sex:period,0.5678246942607025,0.5678246942607025,1,113.27388267639675,0.6052178549281652,0.43821598400016015
width,diet:sex:period,13.559021611818045,4.519673870606015,3,113.3743747425356,4.817309554499871,0.0034040949253134976
length,diet,23.278859851387956,7.7596199504626515,3,133.9999999938583,1.2637312834394998,0.2894683188405704
length,sex,185.92666078777108,185.92666078777108,1,133.99999999181824,30.280005871800636,1.8343860752215876e-7
length,period,390.5357142857133,390.5357142857133,1,133.99999998772057,63.60262520509402,5.958777799966252e-13
length,diet:sex,20.758941999738752,6.919647333246251,3,133.99999999429423,1.1269333886475483,0.3405731119850094
length,diet:period,18.856770378402,6.285590126134,3,133.9999999948611,1.0236708663547838,0.3843406742767717
length,sex:period,18.298677248677397,18.298677248677397,1,133.99999999263187,2.9801215822867073,0.08659770291267338
length,diet:sex:period,6.771239264323816,2.257079754774605,3,133.99999999517857,0.36758788620266875,0.7765108656889026
girth,diet,6206.788157987197,2068.9293859957324,3,134.00000000160057,289.7993390722083,2.2625061284141827e-58
girth,sex,40.169341563785984,40.169341563785984,1,134.00000001246295,5.626605100660974,0.01911215011096654
girth,period,217.95205761316927,217.95205761316927,1,133.99999999568993,30.529008226796297,1.6522314905210643e-7
girth,diet:sex,14.553707217653862,4.851235739217954,3,134.00000000008825,0.6795229070769934,0.5660522994349232
girth,diet:period,72.64046274822164,24.213487582740544,3,133.999999999235,3.391634700347287,0.019945604915133842
girth,sex:period,2.4211934156379336,2.4211934156379336,1,133.9999999976403,0.3391417108613213,0.5613036563626147
girth,diet:sex:period,55.69233334114387,18.564111113714624,3,133.99999999811664,2.600314523846505,0.05478888245539096
